Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MaritalStatus,Over18,StandardHours,EmployeeCount
52,No,Travel_Rarely,796,Research & Development,8,2,Marketing,1021,3,Male,2,1,Healthcare Representative,4,2830.0,7,Yes,16,3,3,0,34,5,4,4,15,5,15,Single,Y,80,1
39,Yes,Travel_Rarely,1281,Research & Development,18,2,Technical Degree,1022,1,Male,4,2,Human Resources,1,1930.0,8,No,19,3,3,3,25,3,4,3,6,0,8,Married,Y,80,1
49,No,Travel_Rarely,504,Research & Development,21,4,Human Resources,1023,3,Female,2,5,Manager,2,6590.0,6,No,24,3,4,0,31,6,4,12,2,9,7,Married,Y,80,1
59,No,Travel_Rarely,1468,Human Resources,13,5,Medical,1024,2,Female,2,1,Human Resources,1,4570.0,6,No,16,3,2,2,41,0,2,19,2,11,14,Divorced,Y,80,1
36,No,Travel_Rarely,1066,Research & Development,7,5,Life Sciences,1025,3,Male,4,4,Research Director,4,3480.0,3,No,12,3,2,0,18,6,3,8,10,0,14,Divorced,Y,80,1
18,Yes,Travel_Rarely,1027,Sales,19,1,Other,1026,2,Male,3,1,Manager,2,2660.0,3,No,11,3,3,3,27,0,2,5,14,8,8,Married,Y,80,1
21,No,Travel_Rarely,1082,Sales,4,2,Other,1027,4,Female,1,3,Manufacturing Director,3,1710.0,3,No,15,3,3,2,6,3,2,17,4,7,16,Married,Y,80,1
24,No,Travel_Rarely,214,Sales,27,5,Marketing,1028,4,Male,1,1,Manufacturing Director,2,3720.0,6,Yes,24,3,3,3,30,2,4,14,5,15,5,Divorced,Y,80,1
58,No,Travel_Rarely,1170,Research & Development,9,4,Marketing,1029,2,Male,1,1,Healthcare Representative,1,4190.0,3,No,12,4,2,0,40,6,4,7,15,12,1,Divorced,Y,80,1
24,No,Travel_Rarely,525,Human Resources,29,3,Marketing,1030,3,Male,2,4,Sales Executive,3,4800.0,8,Yes,19,3,4,0,7,6,1,14,10,14,7,Divorced,Y,80,1
20,No,Travel_Rarely,1102,Sales,7,5,Human Resources,1031,3,Male,3,5,Human Resources,4,2080.0,1,No,11,3,1,0,36,1,2,20,5,13,13,Married,Y,80,1
51,No,Travel_Rarely,190,Research & Development,10,3,Medical,1032,2,Female,4,2,Manufacturing Director,3,3450.0,7,No,14,3,4,3,33,2,1,6,9,9,4,Married,Y,80,1
29,No,Travel_Rarely,616,Research & Development,20,4,Life Sciences,1033,3,Male,3,4,Sales Executive,1,2870.0,1,Yes,16,3,3,1,32,4,4,11,9,12,3,Married,Y,80,1
21,No,Travel_Rarely,568,Human Resources,5,2,Life Sciences,1034,1,Female,1,4,Research Director,2,2140.0,8,Yes,15,3,1,0,30,0,4,13,10,0,13,Married,Y,80,1
28,Yes,Travel_Rarely,570,Sales,7,3,Marketing,1035,1,Male,3,4,Sales Representative,3,2320.0,9,Yes,12,3,1,1,37,5,4,20,8,13,0,Married,Y,80,1
35,No,Travel_Frequently,981,Human Resources,2,3,Marketing,1036,3,Female,3,5,Research Director,4,2970.0,8,Yes,21,3,3,1,29,0,4,13,15,15,1,Single,Y,80,1
19,No,Travel_Rarely,1225,Research & Development,9,4,Human Resources,1037,1,Female,3,2,Sales Representative,2,4790.0,5,No,17,3,4,2,39,6,4,6,0,4,17,Divorced,Y,80,1
38,No,Non-Travel,1400,Human Resources,29,2,Life Sciences,1038,1,Female,1,1,Manufacturing Director,3,2560.0,4,No,14,4,4,1,20,6,1,17,4,7,14,Married,Y,80,1
35,No,Travel_Rarely,1348,Sales,20,5,Technical Degree,1039,2,Male,3,3,Human Resources,1,2660.0,3,Yes,22,3,1,3,35,3,2,19,5,9,15,Divorced,Y,80,1
29,No,Travel_Rarely,1324,Research & Development,29,5,Medical,1040,1,Male,2,4,Sales Executive,3,3570.0,8,No,11,3,2,3,11,4,1,6,7,10,5,Divorced,Y,80,1
34,No,Travel_Frequently,1020,Sales,12,2,Life Sciences,1041,4,Male,2,2,Healthcare Representative,1,3170.0,6,No,25,4,2,3,23,4,4,13,4,13,5,Single,Y,80,1
36,Yes,Travel_Rarely,272,Research & Development,28,2,Medical,1042,3,Male,3,5,Research Director,4,2920.0,7,Yes,18,3,2,1,23,0,1,6,10,15,12,Single,Y,80,1
33,Yes,Travel_Frequently,913,Human Resources,8,4,Other,1043,4,Female,2,5,Sales Representative,2,7790.0,2,No,20,3,3,2,29,1,1,10,4,11,3,Married,Y,80,1
36,No,Travel_Rarely,950,Research & Development,6,5,Other,1044,2,Female,2,2,Research Director,3,4690.0,3,No,17,3,1,1,35,4,3,4,14,1,15,Single,Y,80,1
19,No,Travel_Rarely,419,Research & Development,28,5,Technical Degree,1045,2,Female,2,4,Research Scientist,4,3690.0,9,No,25,4,4,1,30,5,2,0,9,12,7,Married,Y,80,1
40,No,Travel_Rarely,979,Research & Development,11,1,Life Sciences,1046,4,Female,2,3,Manager,4,1870.0,0,No,20,3,4,2,26,2,1,5,9,11,9,Single,Y,80,1
52,No,Travel_Rarely,901,Research & Development,9,3,Medical,1047,2,Male,2,5,Research Scientist,3,5670.0,1,No,14,3,2,3,34,3,2,0,7,10,12,Married,Y,80,1
27,No,Travel_Rarely,1319,Research & Development,24,1,Marketing,1048,4,Female,3,1,Manager,1,2990.0,0,Yes,21,3,4,0,30,2,4,5,9,12,5,Divorced,Y,80,1
52,No,Travel_Rarely,790,Research & Development,6,4,Life Sciences,1049,4,Male,4,5,Manufacturing Director,2,1690.0,1,No,22,3,4,0,34,6,1,18,10,11,17,Single,Y,80,1
39,No,Travel_Rarely,1107,Research & Development,21,1,Technical Degree,1050,4,Male,4,3,Healthcare Representative,3,1550.0,7,Yes,11,3,1,1,21,4,3,17,9,3,3,Married,Y,80,1
60,No,Travel_Frequently,432,Research & Development,13,2,Medical,1051,4,Male,3,2,Healthcare Representative,3,3000.0,2,No,17,3,2,2,42,3,3,10,6,15,17,Married,Y,80,1
57,No,Travel_Rarely,422,Sales,22,3,Life Sciences,1052,2,Male,2,2,Human Resources,1,3780.0,5,No,13,3,3,0,39,0,2,17,8,5,15,Divorced,Y,80,1
29,No,Travel_Rarely,1180,Research & Development,24,3,Technical Degree,1053,2,Male,4,4,Healthcare Representative,3,2450.0,7,No,25,3,4,3,36,2,3,13,7,11,3,Married,Y,80,1
57,No,Non-Travel,168,Sales,20,4,Marketing,1054,2,Female,1,5,Sales Executive,2,2670.0,3,No,23,3,3,1,40,6,3,9,12,6,0,Single,Y,80,1
46,No,Travel_Rarely,621,Research & Development,10,4,Human Resources,1055,3,Male,4,1,Manager,4,2210.0,9,No,18,3,3,2,28,2,2,5,15,2,3,Married,Y,80,1
30,No,Non-Travel,1013,Research & Development,12,3,Marketing,1056,1,Male,1,4,Research Director,3,2630.0,6,No,20,3,1,1,35,2,2,11,3,2,4,Divorced,Y,80,1
33,No,Travel_Rarely,223,Research & Development,5,4,Life Sciences,1057,1,Female,3,2,Human Resources,1,3010.0,0,Yes,16,3,1,0,36,5,1,6,3,2,5,Married,Y,80,1
43,No,Non-Travel,1387,Research & Development,29,3,Life Sciences,1058,4,Male,2,3,Healthcare Representative,2,1770.0,3,No,17,3,1,1,25,6,2,3,7,9,0,Married,Y,80,1
32,No,Travel_Rarely,371,Research & Development,5,3,Human Resources,1059,1,Male,4,3,Human Resources,1,2830.0,2,No,20,3,2,2,17,2,4,0,0,6,6,Divorced,Y,80,1
23,No,Travel_Rarely,939,Research & Development,4,5,Human Resources,1060,4,Female,3,1,Manufacturing Director,3,2530.0,8,No,15,3,4,1,40,3,1,12,6,0,5,Married,Y,80,1
41,Yes,Travel_Rarely,743,Research & Development,20,2,Medical,1061,2,Male,1,4,Human Resources,2,1810.0,0,Yes,18,3,3,0,30,6,2,19,1,15,12,Married,Y,80,1
39,No,Travel_Rarely,827,Research & Development,8,3,Human Resources,1062,4,Male,1,1,Human Resources,3,2760.0,8,No,23,4,3,2,26,1,1,11,15,14,13,Married,Y,80,1
49,Yes,Travel_Rarely,129,Research & Development,11,1,Human Resources,1063,3,Female,1,1,Human Resources,4,4290.0,0,No,24,3,2,3,31,3,3,20,15,13,7,Divorced,Y,80,1
39,No,Travel_Rarely,1027,Sales,14,3,Human Resources,1064,2,Male,2,5,Research Director,3,4140.0,3,Yes,13,3,2,3,21,6,3,14,1,8,12,Married,Y,80,1
34,No,Travel_Rarely,1276,Research & Development,29,5,Marketing,1065,3,Female,2,3,Sales Executive,2,2730.0,4,Yes,12,3,1,1,16,4,1,16,5,8,1,Single,Y,80,1
18,No,Travel_Rarely,578,Research & Development,23,3,Other,1066,1,Female,3,5,Manufacturing Director,2,2610.0,7,Yes,24,3,3,3,35,1,1,12,14,8,10,Divorced,Y,80,1
38,No,Travel_Rarely,148,Research & Development,16,3,Medical,1067,1,Female,2,1,Sales Executive,1,1610.0,3,Yes,11,3,4,1,20,2,2,13,11,2,4,Married,Y,80,1
31,No,Travel_Frequently,979,Research & Development,21,5,Human Resources,1068,3,Male,3,5,Research Director,4,1640.0,6,Yes,20,3,4,3,13,0,3,13,8,0,6,Divorced,Y,80,1
55,No,Non-Travel,700,Research & Development,21,2,Medical,1069,2,Male,2,1,Human Resources,1,2300.0,6,No,21,3,1,0,37,0,4,3,9,10,7,Single,Y,80,1
36,No,Travel_Frequently,1253,Research & Development,28,4,Other,1070,2,Male,4,1,Manager,1,6490.0,6,No,25,3,4,3,18,6,4,9,9,15,7,Single,Y,80,1
20,No,Travel_Rarely,799,Sales,21,5,Human Resources,1071,4,Male,4,4,Sales Executive,2,2750.0,5,No,25,3,4,0,35,0,4,9,1,7,10,Married,Y,80,1
45,Yes,Travel_Rarely,865,Research & Development,7,4,Medical,1072,1,Female,1,4,Sales Executive,2,2480.0,6,Yes,14,3,2,1,27,3,2,14,15,15,15,Married,Y,80,1
36,No,Travel_Rarely,1062,Research & Development,24,4,Medical,1073,3,Female,1,1,Manager,1,1880.0,5,Yes,21,3,3,2,18,4,1,6,4,5,4,Divorced,Y,80,1
37,Yes,Travel_Rarely,568,Research & Development,22,1,Human Resources,1074,1,Female,1,3,Laboratory Technician,2,2120.0,1,Yes,24,3,4,2,19,4,1,16,4,12,10,Married,Y,80,1
26,No,Travel_Frequently,641,Research & Development,28,3,Human Resources,1075,3,Female,2,3,Sales Executive,1,4970.0,9,No,15,4,3,0,25,1,1,14,2,10,12,Married,Y,80,1
48,No,Travel_Frequently,1459,Research & Development,17,4,Medical,1076,3,Female,1,5,Laboratory Technician,3,3150.0,7,No,18,3,3,2,30,0,4,3,11,9,13,Divorced,Y,80,1
25,Yes,Travel_Rarely,976,Human Resources,27,4,Life Sciences,1077,2,Male,2,2,Manufacturing Director,4,1660.0,5,No,13,4,3,2,7,0,3,15,0,0,2,Divorced,Y,80,1
49,No,Travel_Rarely,355,Research & Development,17,4,Medical,1078,4,Male,3,3,Laboratory Technician,3,3310.0,2,No,22,3,1,1,31,1,2,4,3,2,14,Single,Y,80,1
42,No,Travel_Rarely,191,Research & Development,18,1,Marketing,1079,4,Male,2,5,Manager,3,1510.0,1,No,21,3,1,1,39,6,3,9,10,4,17,Single,Y,80,1
39,No,Travel_Rarely,628,Research & Development,6,5,Technical Degree,1080,4,Female,4,4,Manager,4,5270.0,3,No,16,3,1,1,21,2,2,18,3,14,16,Divorced,Y,80,1
39,No,Travel_Rarely,1354,Research & Development,9,4,Medical,1081,1,Female,1,1,Healthcare Representative,2,1150.0,7,Yes,18,3,3,3,21,0,1,17,4,11,17,Married,Y,80,1
53,No,Travel_Rarely,1205,Research & Development,16,2,Medical,1082,4,Male,4,2,Healthcare Representative,1,2750.0,1,Yes,24,3,4,0,35,5,4,7,15,15,15,Single,Y,80,1
55,No,Travel_Rarely,137,Human Resources,8,1,Life Sciences,1083,1,Female,2,4,Healthcare Representative,3,3000.0,5,Yes,24,3,4,2,37,2,1,18,1,12,0,Divorced,Y,80,1
58,No,Travel_Frequently,415,Research & Development,19,2,Human Resources,1084,3,Male,2,1,Sales Executive,4,4130.0,7,No,24,3,3,2,40,3,2,9,1,6,1,Married,Y,80,1
54,No,Travel_Rarely,843,Sales,6,5,Life Sciences,1085,2,Male,4,2,Healthcare Representative,3,6310.0,6,No,19,3,4,2,36,2,3,7,9,8,14,Married,Y,80,1
23,Yes,Travel_Rarely,155,Research & Development,16,2,Life Sciences,1086,1,Male,4,3,Human Resources,4,1510.0,6,Yes,16,3,4,1,5,1,1,6,6,1,0,Divorced,Y,80,1
30,Yes,Non-Travel,767,Research & Development,18,3,Other,1087,1,Male,4,4,Laboratory Technician,3,4080.0,9,Yes,23,3,3,2,12,2,4,8,2,2,15,Married,Y,80,1
26,Yes,Travel_Rarely,466,Research & Development,22,2,Life Sciences,1088,1,Male,4,1,Laboratory Technician,2,2810.0,0,No,22,4,3,1,8,3,3,6,1,7,17,Married,Y,80,1
38,No,Travel_Rarely,746,Research & Development,13,2,Life Sciences,1089,4,Female,2,4,Research Director,2,3690.0,9,Yes,17,3,2,0,20,1,4,3,15,2,11,Married,Y,80,1
33,No,Travel_Rarely,1045,Research & Development,5,2,Life Sciences,1090,1,Female,3,2,Research Director,3,5020.0,1,No,17,3,2,0,30,0,4,12,9,3,11,Married,Y,80,1
34,No,Travel_Rarely,589,Research & Development,29,1,Medical,1091,3,Female,4,4,Research Director,4,3460.0,7,No,13,3,4,2,16,6,3,20,12,1,0,Married,Y,80,1
22,Yes,Travel_Rarely,1422,Sales,24,5,Technical Degree,1092,1,Female,1,2,Human Resources,4,3880.0,6,Yes,19,4,4,0,36,5,2,13,1,2,4,Divorced,Y,80,1
23,No,Travel_Frequently,1158,Sales,27,3,Other,1093,4,Male,2,4,Laboratory Technician,3,1900.0,6,Yes,20,3,4,2,17,0,4,11,5,2,6,Divorced,Y,80,1
37,No,Travel_Frequently,1131,Sales,10,5,Life Sciences,1094,1,Male,3,2,Manager,4,2870.0,3,No,13,4,3,1,19,5,4,12,8,2,7,Single,Y,80,1
37,No,Non-Travel,1496,Research & Development,23,2,Life Sciences,1095,4,Male,4,4,Human Resources,4,1300.0,8,No,21,3,2,3,19,4,4,0,10,3,4,Divorced,Y,80,1
32,No,Travel_Rarely,1306,Research & Development,2,2,Life Sciences,1096,4,Female,1,4,Human Resources,1,5460.0,5,Yes,25,3,1,3,32,4,2,9,11,8,17,Single,Y,80,1
40,Yes,Travel_Rarely,500,Research & Development,8,2,Human Resources,1097,3,Female,4,4,Sales Executive,4,1290.0,6,Yes,16,4,4,3,22,6,2,16,0,11,1,Single,Y,80,1
25,No,Travel_Rarely,120,Research & Development,18,4,Human Resources,1098,2,Male,2,2,Human Resources,2,3730.0,0,No,18,3,1,1,26,0,3,2,3,5,1,Divorced,Y,80,1
42,Yes,Travel_Rarely,574,Sales,14,5,Medical,1099,1,Male,1,2,Research Director,1,2700.0,9,Yes,20,3,2,0,27,3,4,13,15,3,14,Single,Y,80,1
23,No,Travel_Rarely,330,Research & Development,6,3,Marketing,1100,1,Male,1,2,Research Director,4,3370.0,8,No,24,3,1,2,10,6,4,3,6,4,11,Divorced,Y,80,1
32,No,Travel_Rarely,250,Research & Development,29,2,Medical,1101,3,Female,3,1,Sales Executive,4,1200.0,4,Yes,20,4,2,2,40,5,1,11,13,14,9,Married,Y,80,1
44,No,Travel_Rarely,1361,Research & Development,4,3,Life Sciences,1102,4,Male,4,4,Laboratory Technician,3,1590.0,9,No,11,3,1,0,26,3,2,9,11,2,13,Single,Y,80,1
57,No,Travel_Frequently,294,Sales,23,1,Other,1103,2,Female,1,2,Manager,2,2370.0,8,No,17,3,3,2,39,0,3,6,3,13,6,Single,Y,80,1
48,No,Travel_Rarely,130,Research & Development,8,4,Human Resources,1104,1,Female,2,3,Sales Executive,1,8010.0,8,No,16,4,2,3,30,3,2,8,1,0,16,Married,Y,80,1
24,No,Travel_Frequently,1167,Research & Development,1,5,Human Resources,1105,2,Male,4,3,Healthcare Representative,4,3230.0,8,No,24,3,4,2,13,1,4,10,2,6,1,Married,Y,80,1
50,Yes,Travel_Rarely,171,Research & Development,16,5,Marketing,1106,1,Female,2,1,Human Resources,1,6220.0,9,No,14,3,2,3,32,6,2,3,14,6,5,Married,Y,80,1
53,No,Travel_Rarely,1201,Research & Development,4,3,Marketing,1107,2,Female,4,4,Human Resources,2,3060.0,3,Yes,21,3,2,2,35,2,3,20,12,4,9,Single,Y,80,1
35,No,Travel_Rarely,766,Sales,28,2,Marketing,1108,3,Male,3,4,Laboratory Technician,3,2100.0,6,Yes,15,3,4,2,28,5,3,16,13,2,10,Married,Y,80,1
47,No,Travel_Frequently,1245,Research & Development,24,4,Other,1109,2,Female,1,5,Healthcare Representative,2,1460.0,1,No,21,3,3,2,29,1,2,19,12,5,11,Single,Y,80,1
44,No,Travel_Frequently,1428,Human Resources,11,3,Life Sciences,1110,3,Male,4,3,Healthcare Representative,2,3600.0,7,No,22,3,2,3,37,1,2,14,10,2,1,Married,Y,80,1
27,No,Travel_Rarely,1276,Human Resources,23,1,Other,1111,4,Female,2,3,Sales Representative,4,1820.0,7,No,24,3,1,3,21,6,2,11,0,11,3,Single,Y,80,1
41,No,Travel_Rarely,711,Sales,17,3,Other,1112,2,Female,2,4,Sales Executive,2,2100.0,3,Yes,12,3,4,1,23,3,2,3,2,1,0,Married,Y,80,1
52,Yes,Travel_Rarely,543,Research & Development,4,2,Human Resources,1113,1,Female,1,2,Manufacturing Director,4,1870.0,9,Yes,18,4,4,2,34,0,2,15,3,12,14,Married,Y,80,1
47,No,Travel_Rarely,1339,Sales,16,3,Technical Degree,1114,3,Female,2,5,Research Director,2,2380.0,9,No,18,3,4,0,29,0,4,16,12,13,13,Married,Y,80,1
20,No,Travel_Rarely,141,Research & Development,20,5,Other,1115,2,Male,3,2,Human Resources,2,3600.0,3,No,19,3,2,0,18,0,1,2,7,14,14,Married,Y,80,1
26,No,Travel_Rarely,445,Research & Development,13,2,Technical Degree,1116,4,Female,1,2,Manufacturing Director,1,3880.0,4,Yes,25,3,3,1,36,2,2,5,15,11,12,Single,Y,80,1
33,No,Travel_Rarely,1230,Research & Development,12,3,Marketing,1117,2,Male,4,4,Laboratory Technician,1,1260.0,7,No,21,3,3,3,28,6,1,16,1,13,10,Married,Y,80,1
51,No,Travel_Rarely,130,Research & Development,28,3,Life Sciences,1118,1,Male,3,1,Sales Representative,4,3700.0,5,No,25,3,3,2,33,5,1,2,12,12,0,Single,Y,80,1
18,No,Travel_Frequently,985,Human Resources,27,3,Human Resources,1119,4,Male,1,4,Research Scientist,3,2960.0,5,No,12,3,2,2,18,6,1,11,5,2,0,Single,Y,80,1
20,No,Travel_Frequently,1038,Research & Development,22,5,Human Resources,1120,4,Female,1,2,Research Scientist,2,5020.0,2,No,22,4,4,3,28,0,1,5,6,3,13,Married,Y,80,1
22,No,Travel_Rarely,130,Research & Development,7,5,Human Resources,1121,4,Male,4,4,Manufacturing Director,4,2450.0,4,No,15,3,3,1,40,0,4,10,14,8,10,Divorced,Y,80,1
42,No,Travel_Frequently,430,Research & Development,13,3,Marketing,1122,3,Female,2,4,Sales Representative,4,2540.0,8,No,23,3,1,0,24,3,4,3,12,7,1,Married,Y,80,1
54,Yes,Travel_Frequently,1217,Research & Development,7,4,Technical Degree,1123,2,Female,3,1,Sales Representative,3,2830.0,9,No,17,3,2,0,36,4,2,13,11,5,14,Married,Y,80,1
29,No,Travel_Rarely,1434,Research & Development,29,1,Technical Degree,1124,3,Female,1,5,Laboratory Technician,2,8200.0,2,No,25,3,2,3,25,4,3,1,11,13,5,Single,Y,80,1
19,No,Non-Travel,112,Human Resources,24,4,Life Sciences,1125,3,Male,4,5,Human Resources,1,2700.0,0,No,23,3,3,1,10,3,4,14,12,2,15,Married,Y,80,1
31,Yes,Travel_Rarely,705,Research & Development,6,1,Medical,1126,1,Female,3,2,Research Scientist,1,2730.0,7,No,20,3,1,2,18,0,2,1,4,5,2,Divorced,Y,80,1
46,No,Travel_Frequently,236,Sales,28,3,Life Sciences,1127,1,Female,2,5,Laboratory Technician,3,1920.0,7,No,13,3,1,3,28,4,2,4,8,4,6,Married,Y,80,1
45,No,Travel_Rarely,1166,Research & Development,17,2,Technical Degree,1128,2,Male,1,2,Laboratory Technician,4,3170.0,8,No,20,3,1,3,36,0,1,18,3,8,8,Married,Y,80,1
37,No,Travel_Rarely,787,Sales,24,5,Technical Degree,1129,2,Female,4,3,Manager,1,4360.0,7,Yes,22,3,4,2,35,1,1,12,13,12,7,Married,Y,80,1
60,No,Travel_Frequently,916,Research & Development,23,4,Human Resources,1130,4,Male,3,1,Sales Representative,4,8120.0,6,Yes,14,3,2,0,42,5,3,19,8,10,3,Single,Y,80,1
25,No,Travel_Rarely,906,Sales,14,5,Other,1131,3,Male,1,5,Manager,3,2880.0,8,No,13,3,3,3,21,6,1,1,8,15,3,Married,Y,80,1
24,No,Travel_Frequently,611,Research & Development,7,5,Other,1132,4,Female,2,2,Manager,4,3200.0,4,No,23,3,3,3,17,2,2,17,6,0,16,Married,Y,80,1
28,No,Travel_Rarely,1383,Research & Development,18,5,Other,1133,3,Male,3,1,Manufacturing Director,1,3260.0,3,Yes,25,3,4,3,32,6,2,5,9,14,14,Single,Y,80,1
34,No,Travel_Frequently,112,Human Resources,1,1,Other,1134,4,Female,1,2,Manufacturing Director,1,3870.0,4,No,14,3,3,1,27,0,2,17,8,7,17,Married,Y,80,1
22,Yes,Travel_Frequently,1076,Human Resources,17,2,Medical,1135,1,Female,1,1,Manufacturing Director,4,2610.0,1,Yes,25,3,4,0,8,3,4,16,3,5,10,Married,Y,80,1
18,No,Travel_Rarely,1167,Research & Development,25,3,Human Resources,1136,4,Female,2,4,Research Director,3,6100.0,4,No,17,3,2,3,34,3,4,0,13,10,0,Married,Y,80,1
30,No,Travel_Rarely,152,Research & Development,20,4,Medical,1137,4,Male,2,3,Healthcare Representative,3,2520.0,0,No,25,4,1,1,34,6,1,15,11,10,3,Married,Y,80,1
58,No,Travel_Rarely,109,Human Resources,5,2,Marketing,1138,3,Female,1,3,Research Director,4,3850.0,0,No,24,4,2,2,40,3,3,19,14,3,0,Divorced,Y,80,1
39,No,Travel_Rarely,1317,Sales,11,5,Human Resources,1139,1,Female,2,5,Sales Representative,1,5390.0,6,No,18,4,2,2,40,2,2,2,4,2,16,Married,Y,80,1
33,No,Travel_Rarely,814,Research & Development,15,1,Life Sciences,1140,3,Female,2,1,Healthcare Representative,4,3090.0,4,Yes,23,3,2,1,24,5,3,16,8,1,2,Divorced,Y,80,1
48,No,Travel_Rarely,486,Research & Development,21,5,Life Sciences,1141,3,Male,3,1,Manager,2,1610.0,9,No,16,3,1,0,38,0,3,12,6,8,16,Single,Y,80,1
20,No,Travel_Frequently,683,Research & Development,28,1,Marketing,1142,3,Female,2,2,Manufacturing Director,4,8000.0,6,No,19,4,1,0,7,4,2,14,1,10,12,Divorced,Y,80,1
26,No,Travel_Rarely,402,Research & Development,13,5,Medical,1143,2,Female,2,4,Research Scientist,4,2440.0,9,Yes,15,3,2,0,10,5,2,19,7,6,4,Single,Y,80,1
